held_out_study,development,n_records,n_selections,mean_absolute_error,signed_bias,observed_mean_accuracy
StudyB,non-ALS cohorts only,56,781,0.10925296377456357,0.04882798134722776,0.8993666432090077
StudyF,non-ALS cohorts only,89,1067,0.10644388848083694,-0.0506585005256284,0.7783452502553627
StudyL,non-ALS cohorts only,33,990,0.08669028057705316,-0.0027789556463309103,0.8393939393939392
StudyN,non-ALS cohorts only,16,480,0.13120319326230817,-0.08601667687918708,0.6937500000000001
