n_local_participants,n_draws_both_identified,n_cohorts,intercept_only_mean_improvement,intercept_only_improvement_ci_low,intercept_only_improvement_ci_high,intercept_and_slope_mean_improvement,intercept_and_slope_improvement_ci_low,intercept_and_slope_improvement_ci_high,cohort_mean_difference,cohort_difference_ci_low,cohort_difference_ci_high,n_cohorts_contributing
2,2916,17,-0.007919932814383869,-0.019336299983439963,0.0034964343546722235,-0.06741894763776408,-0.08970765656264709,-0.04513023871288108,0.059499014823380214,0.04105693003579726,0.07794109961096317,17
3,3050,17,0.0009306603362529302,-0.006955389912139388,0.008816710584645247,-0.021850244175005168,-0.03625850193832219,-0.0074419864116881465,0.02278090451125811,0.011128793992051736,0.03443301503046448,17
4,3126,17,0.0033983618376077496,-0.004550279243683751,0.01134700291889925,-0.008395628515682802,-0.021030863802081946,0.004239606770716341,0.011793990353290552,0.004328594371504185,0.01925938633507692,17
6,2843,15,0.005005357034645506,-0.0032611567490526397,0.013271870818343651,0.0018430524804234896,-0.00897238068712956,0.012658485647976538,0.0031623045542220154,-0.0032278611190133103,0.009552470227457342,15
8,2590,13,0.0037921719797408973,-0.0049881850860551075,0.012572529045536903,0.0024436210062324837,-0.008982714713383811,0.013869956725848778,0.0013485509735084134,-0.0050631550274103055,0.007760256974427132,13
12,1999,10,0.007912984236233805,-0.0025036032951211793,0.018329571767588787,0.006769741712042962,-0.004937238161504626,0.01847672158559055,0.0011432425241908418,-0.003943716881105815,0.006230201929487499,10
14,1800,9,0.0055891409761328475,-0.002746667988597783,0.013924949940863478,0.004312359904913161,-0.005326854483260499,0.01395157429308682,0.0012767810712196869,-0.004207128497482134,0.006760690639921507,9
16,1200,6,0.004703106558147016,-0.007029269303693768,0.0164354824199878,0.002580749656446096,-0.005270024824626162,0.010431524137518354,0.002122356901700919,-0.0043215822645883695,0.008566296067990207,6
