n_local_participants,n_draws_both_identified,n_cohorts,intercept_only_mean_improvement,intercept_only_improvement_ci_low,intercept_only_improvement_ci_high,intercept_and_slope_mean_improvement,intercept_and_slope_improvement_ci_low,intercept_and_slope_improvement_ci_high,cohort_mean_difference,cohort_difference_ci_low,cohort_difference_ci_high,n_cohorts_contributing
2,954,6,-0.004067687194803317,-0.01934920046801231,0.011213826078405674,-0.07296203741985269,-0.11082196087328545,-0.03510211396641992,0.06889435022504938,0.03679247675310485,0.1009962236969939,6
3,1073,6,-0.0015175236660578183,-0.014788958353758723,0.011753911021643087,-0.029476062698098226,-0.0525867758261286,-0.00636534957006785,0.027958539032040403,0.013849304682387816,0.042067773381692986,6
4,1109,6,-0.0005864544706908337,-0.014235427850913423,0.013062518909531756,-0.018583317141902485,-0.04127938469447458,0.004112750410669604,0.017996862671211648,0.006445017317404413,0.029548708025018883,6
6,1169,6,0.0025650436582010457,-0.009989300885866402,0.015119388202268493,-0.007895264359342884,-0.020000950029671682,0.004210421310985913,0.010460308017543928,0.0031660286797104515,0.017754587355377403,6
8,1190,6,0.0028120452630324565,-0.010297150660794263,0.015921241186859177,-0.003431217162961684,-0.013448575925983119,0.00658614160005975,0.0062432624259941396,-0.0019570995165677464,0.014443624368556025,6
12,1199,6,0.004131915661221539,-0.0080512251154823,0.016315056437925378,0.0009529941533514656,-0.0070288951388946305,0.008934883445597562,0.0031789215078700736,-0.00371585498369579,0.010073697999435936,6
14,1200,6,0.005069946466489067,-0.0064372650386730745,0.016577157971651206,0.001632054886275337,-0.0062131573586151154,0.00947726713116579,0.0034378915802137297,-0.0032868415648201884,0.010162624725247649,6
16,1200,6,0.004703106558147016,-0.007029269303693768,0.0164354824199878,0.002580749656446096,-0.005270024824626162,0.010431524137518354,0.002122356901700919,-0.0043215822645883695,0.008566296067990207,6
