analysis,n_studies,n_records,n_selections,mae_mean,mae_between_study_sd,mae_prediction_low,mae_prediction_high,slope_mean,slope_between_study_sd,slope_prediction_low,slope_prediction_high
primary (all contributing cohorts),18,739,19611,0.09045288919786751,0.47706484816659794,0.03216018960699441,0.25440537708963884,1.1003984183595263,0.5595934489719677,-0.11259282088300604,2.313389657602059
cohorts with outcome standard deviation at least 0.10,12,515,14290,0.11710239477849979,0.37070401269046155,0.05008985401899118,0.27376743517081226,1.167118325588646,0.6007302539931844,-0.20906937453153374,2.5433060257088256
records with artifact rejection at most 20 percent,18,629,15890,0.08056254526908926,0.4223710279279184,0.032249094464726284,0.20125599828339683,0.8849074399580208,0.4651690122372332,-0.12340660954960936,1.893221489465651
records with at least 10 eligible selections,18,738,19607,0.09028595749843066,0.4765757507306652,0.03213488843704274,0.25366679387664876,1.1011204959513106,0.5602234110208506,-0.1132362675798888,2.3154772594825097
other cohorts only,14,545,16293,0.08931543813495836,0.5019257909195719,0.029071866113335617,0.27439750369448473,1.12391587010005,0.6630242103521391,-0.35873489622282806,2.606566636422928
ALS cohorts only (originally targeted primary subgroup),4,194,3318,0.09208602255122575,0.17748703183783054,0.04897008262411741,0.1731635948910692,1.0173873404817033,0.2228686713666109,0.2244020791981759,1.8103726017652306
leave-two-studies-out development (153 splits),18,739,19611,0.09055611525464613,0.4771286275164319,0.032192440336568026,0.2547309220512166,1.1008885364052055,0.5598992394409027,-0.11276554326289534,2.3145426160733065
