smaller_side,n_draws,negative_fraction,out_of_range_fraction
2,916,0.24126637554585154,0.287117903930131
3,1069,0.15715622076707203,0.2207670720299345
4,1904,0.11607142857142858,0.21323529411764705
5,200,0.05,0.08
6,1969,0.06500761808024377,0.12849162011173185
7,200,0.005,0.01
8,2180,0.030733944954128442,0.10642201834862386
9,200,0.0,0.02
10,195,0.0,0.08205128205128205
12,199,0.0,0.12562814070351758
