arm,held_out_study,n_records,n_selections,intercept,intercept_se,slope,slope_se,se_method,n_bootstrap_replicates
calibration_auc,StudyA,39,1404,-2.1693741503058535,0.543181815662475,1.9985966253595855,0.31796872138320975,cluster,
calibration_auc,StudyB,56,781,-0.15438317096070736,0.4666031130941646,1.577555787148789,0.4521010148493724,cluster,
calibration_auc,StudyD,34,1230,0.38876469986737494,0.4665131157692532,0.838861898589683,0.1928102630035328,cluster,
calibration_auc,StudyE,8,240,0.9504469080854929,0.5403202547858648,0.7824419795079895,0.2900112040792604,cluster,
calibration_auc,StudyF,89,1067,-0.9317512200739058,0.1303313202929584,1.4181210120436405,0.1084929598728886,cluster,
calibration_auc,StudyG,40,1198,-1.0294058862657236,0.4569726871443687,1.3986114092253008,0.22525043537088268,cluster,
calibration_auc,StudyH,64,1926,1.705301094449415,0.33689704101162954,0.18516677798939624,0.24176164064451475,cluster,
calibration_auc,StudyI,26,948,-0.5035507545094049,0.5836060034951767,1.0435383608366,0.44575342450065514,cluster,
calibration_auc,StudyJ,40,1812,0.4909180904729128,0.36356647174470247,0.326385287127395,0.19861948073710872,cluster,
calibration_auc,StudyK,16,480,0.7265345629843132,0.7658400801485918,0.47982290448106835,0.34341284819131224,cluster,
calibration_auc,StudyL,33,990,-1.087961308380885,0.2312593087399356,1.775099851964887,0.18464751274329294,cluster,
calibration_auc,StudyM,42,1260,0.47653333791328867,0.28351837370124383,0.8884824093937631,0.2085245267538385,cluster,
calibration_auc,StudyN,16,480,-0.6711960031669567,0.3901625364629402,1.1449856053576308,0.23659118655848424,cluster,
calibration_auc,StudyO,34,1187,0.5049202264171728,0.6485799027578684,0.5827690750192178,0.25704431426769775,cluster,
calibration_auc,StudyQ,54,1944,-0.0944016307519599,0.21865107524731664,1.1077499918528588,0.13436722917566715,cluster,
calibration_auc,StudyR,80,1440,1.278265793507404,0.4814822623773513,0.7625630241599328,0.2060356790901462,cluster,
calibration_auc,StudyS1,20,360,1.994744974161983,2.643208872563378,1.3117525224277344,0.7795950177105702,cluster,
