predictor,role,n_cohorts,n_records,n_selections,mae,brier,brier_skill,auc,intercept,slope,cohort_mae_mean,cohort_mae_sd,cohort_mae_prediction_low,cohort_mae_prediction_high,cohort_slope_sd,cohort_slope_low,cohort_slope_high
calibration_auc,primary,18,739,19611,0.09836484226836315,0.12263800062074812,0.1095122922644507,0.747598549825761,0.05396530034557,0.9667406269449323,0.09045288919786751,0.47706484816659794,0.03216018960699441,0.25440537708963884,0.5595934489719677,0.1851667779894121,2.1846670079166803
posterior_amplitude,comparator,18,739,19611,0.1484568650560589,0.13731302631989462,0.002955352901054087,0.5171761151093589,1.1812868206968425,0.2747991672318188,0.14345140530384734,0.27671956223188876,0.07874154184147973,0.2613398874646923,2.459333381562302,-4.7450074618966465,6.387196720532513
posterior_signed_r2,comparator,18,739,19611,0.13383978279901818,0.13256906135296606,0.03740179256572085,0.6558913052625828,0.5464186148789655,0.6429595728744089,0.12894481274205677,0.31194772169124935,0.06557519088293325,0.2535526699840901,2.2087615466738413,-0.46668234496077304,7.29706508927224
calibration_accuracy,comparator,18,739,19611,0.10621942484519802,0.12321715648699934,0.10530697925258481,0.7336408263212765,0.11927548690237992,0.9295181708102817,0.09650929007400265,0.47602016953019183,0.034391310691725706,0.27082547548351726,1.1037888372643045,0.051366268740056696,4.017836403380551
shrinkage_lda_auc,comparator,18,739,19611,0.10017612731921462,0.12326356657254105,0.10496999063176038,0.7449808370213166,0.06635550891711749,0.9602059250147933,0.09213622429567567,0.459457882720327,0.03403310555842247,0.24943606198060247,0.5619572886453137,0.1124845564283524,2.076640478465137
pz_amplitude,comparator,18,739,19611,0.14950203425338215,0.13760624447044423,0.000826264385033304,0.4646713112388389,2.0237987837835676,-0.23772688376775353,0.1451539451816341,0.27170034567799456,0.08054767133479367,0.2615800985011408,4.4904944449723905,-8.234855122081797,9.006517091583136
calibration_auc_plus_alsfrs,exploratory,3,138,2537,0.0849411355650434,0.11730582297755532,0.31297264799972624,0.8336200279296027,0.10533017394560737,0.9819299853522749,0.08924030814470325,0.0983736616304815,0.054739489471738775,0.14548605905199766,0.29256163845490757,0.7709641044385596,1.3355917962870092
calibration_auc on the same restricted records,exploratory reference,3,138,2537,0.08475277742995352,0.11689650774344947,0.31536989269127846,0.8332500994182874,0.049935423232595214,0.9949890657586345,0.08937222078049212,0.11446254285892458,0.05060895139924455,0.15782571316734006,0.302507028741011,0.7648293808361821,1.3549122417834283
