weighting,mean_absolute_error,calibration_slope,calibration_slope_matched_scale,n_units
character,0.09835709589564008,0.9662097104774094,0.9662097104774094,19611
session,0.09633246351235489,0.8778518217197462,0.9816025155867231,410
participant,0.09676807463810812,0.9098867710300363,0.9765361518594572,271
